type,actual,predicted
Rib,0,82.16478156793482
Rib,0,41.42510944340529
Rib,0,42.94379987723505
Scapula,0,91.5142729705749
Scapula,0,68.12285974500037
Rib,489,1086.064619615015
Rib,489,657.2031493607556
Rib,489,667.4786151960593
Scapula,489,666.0411285362668
Scapula,489,1101.2348713398244
Scapula,489,614.7882829208479
Rib,989,2064.3899844961256
Rib,989,1307.7509732359954
Rib,989,1238.4195672191381
Scapula,989,1960.593976279651
Scapula,989,1473.359934395489
Scapula,989,1501.4367482623024
Rib,1490,1732.1142986425252
Rib,1490,1642.8134192932084
Rib,1490,2158.4258084577114
Scapula,1490,1876.6927575757538
Scapula,1490,2227.4147067901235
Scapula,1490,1948.5377010406817
Rib,1980,1930.067163954186
Rib,1980,1819.9772890484664
Rib,1980,2300.370447530864
Scapula,1980,2307.07505250525
Scapula,1980,2672.1341395348763
Scapula,1980,2099.941772151901
Rib,2496,2960.1341467304505
Rib,2496,2678.2091839807217
Rib,2496,3002.51816681667
Scapula,2496,2725.7419999999925
Scapula,2496,2704.1766573729783
Scapula,2496,3533.3703005212965
Rib,3103,2927.2359045848716
Rib,3103,2992.9625196355523
Rib,3103,2833.207651796768
Scapula,3103,3055.226164549293
Scapula,3103,3026.65820695806
Scapula,3103,3329.8594654087938
Rib,3434,2582.368817689528
Rib,3434,2617.7142143505826
Rib,3434,2798.1749627643617
Scapula,3434,2487.0275669314524
Scapula,3434,3259.301615483033
Scapula,3434,3636.071731123374
Rib,3962,3512.8468483815877
Rib,3962,3572.728947368406
Rib,3962,2970.765539305289
Scapula,3962,3513.679027777762
Scapula,3962,2582.307811120917
Scapula,3962,3659.6875547216855
Rib,4527,2838.4672104926303
Rib,4527,3358.150962379689
Rib,4527,3589.0697069943135
Scapula,4527,3757.7562004440033
Scapula,4527,2822.693074375178
